time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779372486.8313,plane,1,,,,,,,,,
1779372486.9406,plane,2,,,,,,,,,
1779372487.0395,plane,3,0,0.49951,0.49913,1.000000,1.00000,0.56250,0.00,0.00000,0.00000
1779372487.1371,plane,4,0,0.49911,0.40826,0.818261,80.71771,0.45355,89.94,-0.00415,-0.93235
1779372487.1371,plane,4,1,0.53842,0.99283,0.012332,1.75496,0.01133,89.90,0.00000,0.00000
1779372487.2295,plane,5,0,0.49911,0.40681,0.815345,7.65774,0.46041,89.94,-0.00002,-0.01576
1779372487.2295,plane,5,1,0.54419,0.99360,0.010749,1.93859,0.00655,89.89,0.06242,0.00837
1779372487.3480,plane,6,0,0.49871,0.50393,0.006124,0.06728,0.06357,74.38,-0.00336,0.82510
1779372487.4507,plane,7,0,0.49887,0.50352,0.004871,0.06048,0.05616,89.31,0.00157,-0.00402
1779372487.5510,plane,8,0,0.49896,0.50314,0.005012,0.06109,0.05763,87.84,0.00090,-0.00382
1779372487.6448,plane,9,0,0.49889,0.50392,0.005459,0.06313,0.06052,73.30,-0.00077,0.00835
1779372487.7489,plane,10,0,0.49868,0.50378,0.005970,0.06629,0.06286,75.83,-0.00200,-0.00133
1779372487.8535,plane,11,0,0.49869,0.50377,0.005968,0.06636,0.06276,75.73,0.00011,-0.00015
1779372487.9514,plane,12,0,0.49863,0.50372,0.005988,0.06639,0.06291,74.26,-0.00063,-0.00043
1779372488.0436,plane,13,0,0.49874,0.50374,0.006154,0.06736,0.06365,73.56,0.00114,0.00020
1779372488.1552,plane,14,0,0.49875,0.50394,0.006137,0.06734,0.06370,73.99,0.00015,0.00181
1779372488.2525,plane,15,0,0.49869,0.50388,0.006154,0.06733,0.06375,72.91,-0.00069,-0.00071
1779372488.3476,plane,16,0,0.49862,0.50377,0.006278,0.06797,0.06449,74.05,-0.00073,-0.00114
1779372488.4434,plane,17,0,0.49868,0.50374,0.006270,0.06801,0.06438,74.35,0.00063,-0.00026
1779372488.5560,plane,18,0,0.49866,0.50384,0.006263,0.06794,0.06439,74.64,-0.00017,0.00091
1779372488.6523,plane,19,0,0.49868,0.50387,0.006361,0.06850,0.06482,72.70,0.00024,0.00028
1779372488.7479,plane,20,0,0.49868,0.50392,0.006376,0.06840,0.06504,72.71,-0.00002,0.00055
1779372488.8436,plane,21,0,0.49872,0.50381,0.006378,0.06844,0.06507,74.68,0.00045,-0.00120
1779372488.9552,plane,22,0,0.49875,0.50390,0.006458,0.06886,0.06543,73.59,0.00023,0.00085
1779372489.0509,plane,23,0,0.49876,0.50398,0.006458,0.06893,0.06539,74.77,0.00013,0.00081
1779372489.1475,plane,24,0,0.49871,0.50384,0.006463,0.06891,0.06544,73.56,-0.00054,-0.00148
1779372489.2439,plane,25,0,0.49861,0.50373,0.007270,0.07194,0.07062,63.80,-0.00101,-0.00116
1779372489.3560,plane,26,0,0.49863,0.50328,0.007260,0.07214,0.07043,62.08,0.00016,-0.00397
1779372489.4516,plane,27,0,0.49856,0.50387,0.007272,0.07218,0.07047,62.44,-0.00071,0.00618
1779372489.5480,plane,28,0,0.49864,0.50324,0.007545,0.07347,0.07183,56.02,0.00083,-0.00659
1779372489.6407,plane,29,0,0.49865,0.50350,0.007546,0.07336,0.07186,59.98,0.00006,0.00288
1779372489.7551,plane,30,0,0.49867,0.50332,0.007556,0.07349,0.07183,57.11,0.00016,-0.00165
1779372489.8518,plane,31,0,0.49860,0.50341,0.007692,0.07421,0.07270,54.45,-0.00067,0.00100
1779372489.9486,plane,32,0,0.49859,0.50333,0.007684,0.07420,0.07260,55.78,-0.00014,-0.00088
1779372490.0416,plane,33,0,0.49860,0.50339,0.007696,0.07422,0.07269,54.31,0.00016,0.00061
1779372490.1553,plane,34,0,0.49858,0.50328,0.007828,0.07472,0.07336,51.93,-0.00017,-0.00094
1779372490.2518,plane,35,0,0.49858,0.50350,0.007860,0.07483,0.07351,51.74,-0.00007,0.00229
1779372490.3472,plane,36,0,0.49863,0.50315,0.007843,0.07486,0.07337,48.99,0.00052,-0.00364
1779372490.4442,plane,37,0,0.49862,0.50329,0.007958,0.07529,0.07399,44.79,-0.00001,0.00146
1779372490.5546,plane,38,0,0.49865,0.50323,0.007952,0.07521,0.07400,46.19,0.00023,-0.00058
1779372490.6492,plane,39,0,0.49864,0.50335,0.007948,0.07527,0.07390,46.51,-0.00006,0.00127
1779372490.7471,plane,40,0,0.49865,0.50318,0.008075,0.07586,0.07451,47.00,0.00008,-0.00176
1779372490.8379,plane,41,,,,,,,,,
1779372490.9538,plane,42,,,,,,,,,
1779372491.0481,plane,43,,,,,,,,,
1779372491.1478,plane,44,2,0.09207,0.95714,0.017047,0.10590,0.06881,132.20,0.00000,0.00000
1779372491.2437,plane,45,0,0.49951,0.49912,0.988768,1.00000,0.56250,0.00,0.00892,-0.04231
1779372491.3424,plane,46,0,0.49951,0.49913,1.000000,1.00000,0.56250,0.00,0.00006,0.00010
1779372491.4379,plane,47,0,0.49951,0.49913,1.000000,1.00000,0.56250,0.00,0.00000,0.00000
1779372491.5341,plane,48,0,0.49951,0.49913,1.000000,1.00000,0.56250,0.00,0.00000,0.00000
1779372491.6304,plane,49,0,0.49951,0.49913,1.000000,1.00000,0.56250,0.00,0.00000,0.00000
1779372491.7417,plane,50,,,,,,,,,
1779372491.8358,plane,51,,,,,,,,,
1779372491.9318,plane,52,,,,,,,,,
1779372492.0279,plane,53,,,,,,,,,
1779372492.1405,plane,54,,,,,,,,,
1779372492.2366,plane,55,3,0.50066,0.49097,0.007731,0.07489,0.07248,87.50,0.00000,0.00000
1779372492.3322,plane,56,3,0.50066,0.49098,0.007735,0.07489,0.07247,86.94,-0.00000,0.00011
1779372492.4288,plane,57,3,0.50067,0.49099,0.007733,0.07484,0.07250,86.38,0.00011,0.00012
1779372492.5411,plane,58,3,0.50073,0.49089,0.007892,0.07561,0.07329,88.79,0.00051,-0.00094
1779372492.6399,plane,59,3,0.50074,0.49083,0.007890,0.07566,0.07316,87.13,0.00008,-0.00054
1779372492.7319,plane,60,3,0.50072,0.49084,0.007887,0.07563,0.07324,88.78,-0.00019,0.00012
1779372492.8286,plane,61,3,0.50076,0.49089,0.008087,0.07656,0.07395,88.40,0.00042,0.00052
1779372492.9434,plane,62,3,0.50076,0.49090,0.008087,0.07651,0.07396,89.22,0.00001,0.00002
1779372493.0395,plane,63,3,0.50076,0.49084,0.008082,0.07657,0.07392,89.89,-0.00000,-0.00054
1779372493.1350,plane,64,3,0.50060,0.49198,0.008472,0.07748,0.07653,77.28,-0.00166,0.01181
1779372493.1350,plane,64,4,0.28882,0.00231,0.002813,0.55133,0.00595,89.76,0.00000,0.00000
1779372493.2328,plane,65,3,0.50047,0.49230,0.008519,0.07802,0.07641,64.96,-0.00138,0.00329
1779372493.2328,plane,65,4,0.29116,0.00234,0.002870,0.53523,0.00511,89.82,0.02394,0.00031
1779372493.3444,plane,66,3,0.50050,0.49213,0.008487,0.07765,0.07647,60.32,0.00028,-0.00148
1779372493.3444,plane,66,4,0.28776,0.00228,0.002784,0.60715,0.00756,89.68,-0.03053,-0.00052
1779372493.4417,plane,67,3,0.50043,0.49367,0.008940,0.07977,0.07855,14.27,-0.00073,0.01583
1779372493.4417,plane,67,4,0.27819,0.00698,0.005373,0.09060,0.08390,0.00,-0.09844,0.04846
