time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779372540.3651,plane,1,,,,,,,,,
1779372540.4579,plane,2,,,,,,,,,
1779372540.5698,plane,3,,,,,,,,,
1779372540.6656,plane,4,,,,,,,,,
1779372540.7620,plane,5,,,,,,,,,
1779372540.8572,plane,6,,,,,,,,,
1779372540.9839,plane,7,,,,,,,,,
1779372541.0810,plane,8,,,,,,,,,
1779372541.1750,plane,9,,,,,,,,,
1779372541.2732,plane,10,,,,,,,,,
1779372541.3864,plane,11,,,,,,,,,
1779372541.4826,plane,12,,,,,,,,,
1779372541.5779,plane,13,,,,,,,,,
1779372541.6721,plane,14,,,,,,,,,
1779372541.7865,plane,15,,,,,,,,,
1779372541.8795,plane,16,,,,,,,,,
1779372541.9727,plane,17,,,,,,,,,
1779372542.0708,plane,18,,,,,,,,,
1779372542.1809,plane,19,,,,,,,,,
1779372542.2785,plane,20,,,,,,,,,
1779372542.3877,plane,21,,,,,,,,,
1779372542.4730,plane,22,,,,,,,,,
1779372542.5835,plane,23,,,,,,,,,
1779372542.6789,plane,24,,,,,,,,,
1779372542.7741,plane,25,,,,,,,,,
1779372542.8704,plane,26,,,,,,,,,
1779372542.9782,plane,27,,,,,,,,,
1779372543.0750,plane,28,,,,,,,,,
1779372543.1731,plane,29,,,,,,,,,
1779372543.2686,plane,30,,,,,,,,,
1779372543.3810,plane,31,,,,,,,,,
1779372543.4756,plane,32,,,,,,,,,
1779372543.5701,plane,33,,,,,,,,,
1779372543.6657,plane,34,,,,,,,,,
1779372543.7828,plane,35,0,0.45650,0.46500,0.003815,0.08655,0.04665,30.50,0.00000,0.00000
1779372543.8791,plane,36,0,0.44065,0.44596,0.006375,0.08673,0.05820,24.46,-0.16425,-0.19728
1779372543.9684,plane,37,,,,,,,,,
1779372544.0656,plane,38,0,0.40633,0.38813,0.002009,0.12974,0.09279,66.21,-0.35339,-0.59544
1779372544.1791,plane,39,0,0.40602,0.39229,0.004574,0.07671,0.06145,91.06,-0.00274,0.03669
1779372544.2745,plane,40,,,,,,,,,
1779372544.3725,plane,41,0,0.40994,0.49982,0.007051,0.08457,0.06539,17.77,0.03991,1.09478
1779372544.4687,plane,42,0,0.37469,0.40748,0.002053,0.17638,0.10797,52.49,-0.36670,-0.96056
1779372544.5799,plane,43,0,0.33996,0.48295,0.005563,0.08553,0.05910,115.98,-0.31258,0.67917
1779372544.6808,plane,44,1,0.50128,0.49967,0.988768,1.00000,0.56250,0.00,0.00000,0.00000
1779372544.7747,plane,45,1,0.50104,0.49977,0.988768,1.00000,0.56250,0.00,-0.00261,0.00105
1779372544.8695,plane,46,1,0.50120,0.50005,0.988768,1.00000,0.56250,0.00,0.00174,0.00289
1779372544.9813,plane,47,1,0.50101,0.49940,0.988768,1.00000,0.56250,0.00,-0.00169,-0.00585
1779372545.0737,plane,48,,,,,,,,,
1779372545.1717,plane,49,0,0.35735,0.52566,0.002107,0.13233,0.09333,176.49,0.17747,0.43584
1779372545.2655,plane,50,0,0.35386,0.38381,0.003398,0.07421,0.06920,58.96,-0.03722,-1.51318
1779372545.3792,plane,51,0,0.34941,0.49456,0.002665,0.08320,0.07693,0.54,-0.03910,0.97368
1779372545.4729,plane,52,,,,,,,,,
1779372545.5705,plane,53,,,,,,,,,
1779372545.6688,plane,54,0,0.36001,0.51010,0.003425,0.07397,0.06590,111.45,0.10796,0.15840
1779372545.7807,plane,55,0,0.33126,0.39984,0.002816,0.07834,0.07436,167.03,-0.25694,-0.98560
1779372545.8736,plane,56,,,,,,,,,
1779372545.9686,plane,57,,,,,,,,,
1779372546.0670,plane,58,0,0.37134,0.37389,0.002187,0.11884,0.08744,163.76,0.40835,-0.26434
1779372546.1774,plane,59,0,0.32356,0.47905,0.005747,0.08267,0.06018,100.35,-0.43124,0.94907
1779372546.2744,plane,60,,,,,,,,,
1779372546.3701,plane,61,0,0.32549,0.37740,0.008163,0.08162,0.07239,31.47,0.02020,-1.06440
1779372546.4649,plane,62,,,,,,,,,
1779372546.5793,plane,63,0,0.36858,0.44231,0.003459,0.07279,0.06203,14.84,0.37560,0.56584
1779372546.6758,plane,64,0,0.38635,0.44651,0.005551,0.08171,0.06123,178.72,0.18463,0.04359
1779372546.7698,plane,65,0,0.40548,0.45235,0.006048,0.08357,0.06098,9.31,0.20289,0.06198
1779372546.8670,plane,66,0,0.43002,0.44457,0.005256,0.08127,0.06011,11.20,0.25323,-0.08029
1779372546.9786,plane,67,0,0.45489,0.47694,0.006358,0.08492,0.06191,176.29,0.22263,0.28971
1779372547.0742,plane,68,0,0.47713,0.45761,0.006204,0.08438,0.06080,10.25,0.23212,-0.20169
1779372547.1704,plane,69,0,0.50311,0.46774,0.006122,0.08435,0.06100,6.91,0.27037,0.10544
1779372547.2674,plane,70,0,0.52399,0.47047,0.005346,0.08368,0.05749,27.85,0.21476,0.02809
1779372547.3771,plane,71,0,0.55327,0.47150,0.006146,0.08509,0.06028,34.46,0.26743,0.00943
1779372547.4734,plane,72,0,0.56504,0.52170,0.006502,0.08404,0.06222,15.04,0.12222,0.52101
1779372547.5698,plane,73,0,0.59145,0.52649,0.005987,0.08423,0.05984,23.65,0.27565,0.05007
1779372547.6663,plane,74,0,0.60595,0.54056,0.003554,0.07463,0.06914,21.40,0.14967,0.14515
1779372547.7785,plane,75,0,0.63051,0.56137,0.004569,0.07999,0.05976,25.58,0.21821,0.18489
1779372547.8743,plane,76,0,0.64512,0.56780,0.006417,0.08439,0.06181,59.78,0.15317,0.06745
1779372547.9726,plane,77,0,0.67265,0.58948,0.006059,0.08355,0.06162,74.41,0.28014,0.22054
