time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779358101.2279,plane,1,,,,,,,,,
1779358101.3773,plane,2,,,,,,,,,
1779358101.4180,plane,3,,,,,,,,,
1779358101.5140,plane,4,,,,,,,,,
1779358101.6105,plane,5,,,,,,,,,
1779358101.7059,plane,6,,,,,,,,,
1779358101.8184,plane,7,,,,,,,,,
1779358101.9137,plane,8,,,,,,,,,
1779358102.0103,plane,9,,,,,,,,,
1779358102.1093,plane,10,,,,,,,,,
1779358102.2179,plane,11,,,,,,,,,
1779358102.3138,plane,12,,,,,,,,,
1779358102.4129,plane,13,,,,,,,,,
1779358102.5061,plane,14,,,,,,,,,
1779358102.6186,plane,15,,,,,,,,,
1779358102.7144,plane,16,,,,,,,,,
1779358102.8106,plane,17,,,,,,,,,
1779358102.9056,plane,18,,,,,,,,,
1779358103.0183,plane,19,,,,,,,,,
1779358103.1138,plane,20,,,,,,,,,
1779358103.2100,plane,21,,,,,,,,,
1779358103.3089,plane,22,,,,,,,,,
1779358103.4262,plane,23,,,,,,,,,
1779358103.5144,plane,24,,,,,,,,,
1779358103.6116,plane,25,,,,,,,,,
1779358103.7069,plane,26,,,,,,,,,
1779358103.8218,plane,27,,,,,,,,,
1779358103.9150,plane,28,,,,,,,,,
1779358104.0095,plane,29,,,,,,,,,
1779358104.1058,plane,30,,,,,,,,,
1779358104.2191,plane,31,,,,,,,,,
1779358104.3146,plane,32,,,,,,,,,
1779358104.4134,plane,33,,,,,,,,,
1779358104.5067,plane,34,,,,,,,,,
1779358104.6172,plane,35,,,,,,,,,
1779358104.7134,plane,36,,,,,,,,,
1779358104.8093,plane,37,,,,,,,,,
1779358104.9054,plane,38,,,,,,,,,
1779358105.0174,plane,39,,,,,,,,,
1779358105.1146,plane,40,,,,,,,,,
1779358105.2095,plane,41,,,,,,,,,
1779358105.3056,plane,42,,,,,,,,,
1779358105.4180,plane,43,,,,,,,,,
1779358105.5140,plane,44,,,,,,,,,
1779358105.6105,plane,45,,,,,,,,,
1779358105.7056,plane,46,,,,,,,,,
1779358105.8174,plane,47,,,,,,,,,
1779358105.9137,plane,48,,,,,,,,,
1779358106.0122,plane,49,,,,,,,,,
1779358106.1081,plane,50,,,,,,,,,
1779358106.2224,plane,51,,,,,,,,,
1779358106.3191,plane,52,,,,,,,,,
1779358106.4215,plane,53,,,,,,,,,
1779358106.5190,plane,54,,,,,,,,,
1779358107.5197,plane,55,,,,,,,,,
1779358107.6097,plane,56,,,,,,,,,
1779358107.7063,plane,57,,,,,,,,,
1779358107.8179,plane,58,,,,,,,,,
1779358107.9148,plane,59,,,,,,,,,
1779358108.0107,plane,60,,,,,,,,,
1779358108.1067,plane,61,,,,,,,,,
1779358108.2183,plane,62,,,,,,,,,
1779358108.3153,plane,63,,,,,,,,,
1779358108.4110,plane,64,,,,,,,,,
1779358108.5061,plane,65,,,,,,,,,
1779358108.6182,plane,66,,,,,,,,,
1779358108.7140,plane,67,,,,,,,,,
1779358108.8119,plane,68,,,,,,,,,
1779358108.9078,plane,69,,,,,,,,,
1779358109.0189,plane,70,,,,,,,,,
1779358109.1145,plane,71,,,,,,,,,
1779358109.2121,plane,72,,,,,,,,,
1779358109.3103,plane,73,,,,,,,,,
1779358109.4176,plane,74,,,,,,,,,
1779358109.5141,plane,75,,,,,,,,,
1779358109.6095,plane,76,,,,,,,,,
1779358109.7057,plane,77,,,,,,,,,
1779358109.8177,plane,78,,,,,,,,,
1779358109.9145,plane,79,,,,,,,,,
1779358110.0238,plane,80,,,,,,,,,
1779358110.1068,plane,81,,,,,,,,,
1779358110.2174,plane,82,,,,,,,,,
1779358110.3137,plane,83,,,,,,,,,
1779358110.4108,plane,84,,,,,,,,,
1779358110.5065,plane,85,,,,,,,,,
1779358110.6185,plane,86,,,,,,,,,
1779358110.7162,plane,87,,,,,,,,,
1779358110.8095,plane,88,,,,,,,,,
1779358110.9065,plane,89,,,,,,,,,
1779358111.0174,plane,90,,,,,,,,,
1779358111.1139,plane,91,,,,,,,,,
1779358111.2106,plane,92,,,,,,,,,
1779358111.3073,plane,93,,,,,,,,,
1779358111.4183,plane,94,,,,,,,,,
1779358111.5147,plane,95,,,,,,,,,
1779358111.6099,plane,96,,,,,,,,,
1779358111.7059,plane,97,,,,,,,,,
1779358111.8173,plane,98,,,,,,,,,
1779358111.9137,plane,99,,,,,,,,,
1779358112.0097,plane,100,,,,,,,,,
1779358112.1054,plane,101,,,,,,,,,
1779358112.2178,plane,102,,,,,,,,,
1779358112.3149,plane,103,,,,,,,,,
1779358112.4104,plane,104,,,,,,,,,
1779358112.5057,plane,105,,,,,,,,,
1779358112.6175,plane,106,,,,,,,,,
1779358112.7145,plane,107,,,,,,,,,
1779358112.8097,plane,108,,,,,,,,,
1779358112.9073,plane,109,,,,,,,,,
1779358113.0229,plane,110,,,,,,,,,
1779358113.1136,plane,111,,,,,,,,,
1779358113.2098,plane,112,,,,,,,,,
1779358113.3059,plane,113,,,,,,,,,
1779358113.4176,plane,114,,,,,,,,,
1779358113.5156,plane,115,,,,,,,,,
1779358113.6103,plane,116,,,,,,,,,
1779358113.7070,plane,117,,,,,,,,,
1779358113.8193,plane,118,,,,,,,,,
1779358113.9179,plane,119,,,,,,,,,
1779358114.0099,plane,120,,,,,,,,,
1779358114.1062,plane,121,,,,,,,,,
1779358114.2195,plane,122,,,,,,,,,
1779358114.3148,plane,123,,,,,,,,,
1779358114.4105,plane,124,,,,,,,,,
1779358114.5058,plane,125,,,,,,,,,
1779358114.6203,plane,126,,,,,,,,,
1779358114.7142,plane,127,,,,,,,,,
1779358114.8095,plane,128,,,,,,,,,
1779358114.9061,plane,129,,,,,,,,,
1779358115.0173,plane,130,,,,,,,,,
1779358115.1140,plane,131,,,,,,,,,
1779358115.2097,plane,132,,,,,,,,,
1779358115.3056,plane,133,,,,,,,,,
1779358115.4254,plane,134,,,,,,,,,
1779358115.5137,plane,135,,,,,,,,,
1779358115.6112,plane,136,,,,,,,,,
1779358115.7074,plane,137,,,,,,,,,
1779358115.8199,plane,138,,,,,,,,,
1779358115.9202,plane,139,,,,,,,,,
1779358116.0099,plane,140,,,,,,,,,
1779358116.1054,plane,141,,,,,,,,,
1779358116.2177,plane,142,,,,,,,,,
1779358116.3135,plane,143,,,,,,,,,
1779358116.4148,plane,144,0,0.06085,0.00766,0.002080,0.12911,0.01547,89.97,0.00000,0.00000
1779358116.5109,plane,145,0,0.06526,0.02564,0.005561,0.15238,0.02693,89.37,0.04628,0.18842
1779358116.6215,plane,146,0,0.05892,0.08284,0.004818,0.12064,0.04219,101.44,-0.05704,0.51456
1779358116.6215,plane,146,1,0.17590,0.01430,0.004439,1.29837,0.20375,0.00,0.00000,0.00000
1779358116.7174,plane,147,0,0.05575,0.14406,0.004120,0.12534,0.02834,97.87,-0.03304,0.63800
1779358116.7174,plane,147,1,0.13523,0.05897,0.009377,0.24413,0.03391,98.79,-0.42394,0.46550
1779358116.8112,plane,148,0,0.04971,0.19292,0.003571,0.10904,0.02883,100.30,-0.06428,0.52022
1779358116.8112,plane,148,1,0.12558,0.10610,0.009226,0.24133,0.03557,100.51,-0.10267,0.50182
1779358116.9080,plane,149,0,0.04639,0.22175,0.003321,0.09857,0.02643,97.84,-0.03437,0.29850
1779358116.9080,plane,149,1,0.11975,0.13402,0.009245,0.24687,0.03457,101.66,-0.06034,0.28899
1779358116.9080,plane,149,2,0.20036,0.01659,0.006163,0.07680,0.04742,0.00,0.00000,0.00000
1779358117.0206,plane,150,0,0.04482,0.22254,0.003259,0.09547,0.02551,98.04,-0.01399,0.00702
1779358117.0206,plane,150,1,0.11829,0.13541,0.009193,0.24195,0.03502,101.47,-0.01296,0.01236
1779358117.0206,plane,150,2,0.19491,0.01703,0.006616,0.10398,0.05156,0.00,-0.04837,0.00389
1779358117.1202,plane,151,0,0.04468,0.22279,0.003240,0.09641,0.02563,97.99,-0.00138,0.00249
1779358117.1202,plane,151,1,0.11782,0.13552,0.009208,0.24179,0.03497,101.65,-0.00478,0.00107
1779358117.1202,plane,151,2,0.19452,0.01709,0.006599,0.09972,0.05150,0.00,-0.00388,0.00063
1779358117.2143,plane,152,0,0.04299,0.23047,0.003157,0.09198,0.02604,97.15,-0.01797,0.08140
1779358117.2143,plane,152,1,0.11644,0.14372,0.009091,0.24487,0.03462,102.10,-0.01461,0.08700
1779358117.2143,plane,152,2,0.18361,0.02133,0.007955,0.35075,0.03503,98.16,-0.11572,0.04492
1779358117.3141,plane,153,0,0.04063,0.24357,0.003030,0.08941,0.02649,97.32,-0.02358,0.13123
1779358117.3141,plane,153,1,0.11417,0.15651,0.008926,0.24612,0.03345,102.53,-0.02278,0.12811
1779358117.3141,plane,153,2,0.16976,0.02989,0.009082,0.29518,0.02598,95.69,-0.13874,0.08575
1779358117.4282,plane,154,0,0.03805,0.25581,0.002889,0.08820,0.02539,98.28,-0.02259,0.10727
1779358117.4282,plane,154,1,0.11245,0.16892,0.008826,0.23881,0.03507,103.30,-0.01506,0.10869
1779358117.4282,plane,154,2,0.16000,0.03901,0.009905,0.30669,0.02696,96.80,-0.08553,0.07991
1779358117.5233,plane,155,0,0.03645,0.27144,0.002779,0.08418,0.02577,98.92,-0.01687,0.16447
1779358117.5233,plane,155,1,0.11087,0.18439,0.008648,0.23620,0.03485,103.94,-0.01654,0.16281
1779358117.5233,plane,155,2,0.15473,0.05209,0.010242,0.37203,0.02813,98.59,-0.05545,0.13760
1779358117.6179,plane,156,0,0.03421,0.28513,0.002641,0.08079,0.02639,97.82,-0.02372,0.14508
1779358117.6179,plane,156,1,0.10876,0.19826,0.008462,0.23360,0.03573,104.33,-0.02245,0.14710
1779358117.6179,plane,156,2,0.15228,0.06602,0.010093,0.34670,0.02755,99.04,-0.02595,0.14772
1779358117.7135,plane,157,0,0.03248,0.29179,0.002541,0.07723,0.02603,97.25,-0.01809,0.06974
1779358117.7135,plane,157,1,0.10754,0.20552,0.008343,0.22263,0.03667,104.80,-0.01276,0.07591
1779358117.7135,plane,157,2,0.15041,0.07289,0.010044,0.34911,0.02768,99.27,-0.01960,0.07193
1779358117.8201,plane,158,0,0.03194,0.29543,0.002506,0.07852,0.02576,97.30,-0.00506,0.03405
1779358117.8201,plane,158,1,0.10737,0.20954,0.008279,0.22362,0.03678,104.67,-0.00156,0.03760
1779358117.8201,plane,158,2,0.14940,0.07707,0.009986,0.33959,0.02771,99.47,-0.00938,0.03908
1779358117.9153,plane,159,0,0.03103,0.30603,0.002430,0.07307,0.02588,96.09,-0.00955,0.11135
1779358117.9153,plane,159,1,0.10602,0.21919,0.008228,0.22829,0.03521,105.51,-0.01424,0.10137
1779358117.9153,plane,159,2,0.14831,0.08725,0.009883,0.35986,0.02751,99.88,-0.01144,0.10695
1779358118.0160,plane,160,0,0.03060,0.31865,0.002355,0.07757,0.02577,97.57,-0.00427,0.12577
1779358118.0160,plane,160,1,0.10594,0.23037,0.008238,0.22245,0.03628,105.29,-0.00076,0.11148
1779358118.0160,plane,160,2,0.14772,0.09909,0.009786,0.34915,0.02695,100.30,-0.00596,0.11799
1779358118.1084,plane,161,0,0.03099,0.33487,0.002297,0.07965,0.02471,98.03,0.00419,0.17501
1779358118.1084,plane,161,1,0.10610,0.24588,0.008191,0.22256,0.03633,105.95,0.00173,0.16724
1779358118.1084,plane,161,2,0.14886,0.11548,0.009700,0.35037,0.02777,100.79,0.01238,0.17675
1779358118.2211,plane,162,0,0.03102,0.35725,0.002246,0.07578,0.02470,97.29,0.00028,0.19857
1779358118.2211,plane,162,1,0.10585,0.26733,0.008101,0.22404,0.03657,107.13,-0.00223,0.19039
1779358118.2211,plane,162,2,0.14937,0.13720,0.009574,0.36085,0.02721,101.77,0.00450,0.19278
1779358118.3214,plane,163,0,0.02873,0.39573,0.002097,0.07148,0.02429,96.61,-0.02292,0.38438
1779358118.3214,plane,163,1,0.10405,0.30464,0.007780,0.21662,0.03758,108.84,-0.01799,0.37264
1779358118.3214,plane,163,2,0.14831,0.17288,0.009323,0.33145,0.02804,103.09,-0.01063,0.35643
1779358118.3214,plane,163,3,0.15391,0.01862,0.005619,0.21261,0.02494,92.97,0.00000,0.00000
1779358118.4220,plane,164,0,0.10193,0.36346,0.007236,0.19929,0.03882,111.31,0.72889,-0.32135
1779358118.4220,plane,164,1,0.14495,0.22791,0.009135,0.30705,0.02885,105.39,0.40724,-0.76397
1779358118.4220,plane,164,2,0.12587,0.05423,0.009440,0.23293,0.03944,99.40,-0.22336,-1.18144
