time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779374911.8725,plane,1,,,,,,,,,
1779374911.9674,plane,2,,,,,,,,,
1779374912.0785,plane,3,,,,,,,,,
1779374912.1740,plane,4,,,,,,,,,
1779374912.2698,plane,5,,,,,,,,,
1779374912.3807,plane,6,,,,,,,,,
1779374912.4929,plane,7,,,,,,,,,
1779374912.5866,plane,8,,,,,,,,,
1779374912.6841,plane,9,,,,,,,,,
1779374912.7801,plane,10,,,,,,,,,
1779374912.8928,plane,11,,,,,,,,,
1779374912.9881,plane,12,,,,,,,,,
1779374913.0838,plane,13,,,,,,,,,
1779374913.1808,plane,14,,,,,,,,,
1779374913.2929,plane,15,,,,,,,,,
1779374913.3867,plane,16,,,,,,,,,
1779374913.4845,plane,17,,,,,,,,,
1779374913.5790,plane,18,,,,,,,,,
1779374913.6914,plane,19,,,,,,,,,
1779374913.7836,plane,20,,,,,,,,,
1779374913.8837,plane,21,,,,,,,,,
1779374913.9785,plane,22,,,,,,,,,
1779374914.0915,plane,23,,,,,,,,,
1779374914.1880,plane,24,,,,,,,,,
1779374914.2814,plane,25,,,,,,,,,
1779374914.3766,plane,26,,,,,,,,,
1779374914.4891,plane,27,,,,,,,,,
1779374914.5843,plane,28,,,,,,,,,
1779374914.6819,plane,29,,,,,,,,,
1779374914.7762,plane,30,,,,,,,,,
1779374914.8890,plane,31,,,,,,,,,
1779374914.9862,plane,32,,,,,,,,,
1779374915.0715,plane,33,,,,,,,,,
1779374915.1697,plane,34,0,0.50340,0.49886,0.886675,0.96875,0.53125,0.00,0.00000,0.00000
1779374915.2826,plane,35,0,0.50239,0.49748,0.889616,0.96875,0.53125,0.00,-0.00898,-0.01220
1779374915.3766,plane,36,,,,,,,,,
1779374915.4730,plane,37,,,,,,,,,
1779374915.5668,plane,38,,,,,,,,,
1779374915.6784,plane,39,,,,,,,,,
1779374915.7741,plane,40,,,,,,,,,
1779374915.8703,plane,41,,,,,,,,,
1779374915.9665,plane,42,,,,,,,,,
1779374916.0784,plane,43,,,,,,,,,
1779374916.1742,plane,44,,,,,,,,,
1779374916.2700,plane,45,,,,,,,,,
1779374916.3661,plane,46,,,,,,,,,
1779374916.4782,plane,47,,,,,,,,,
1779374916.5741,plane,48,,,,,,,,,
1779374916.6702,plane,49,,,,,,,,,
1779374916.7667,plane,50,,,,,,,,,
1779374916.8782,plane,51,,,,,,,,,
1779374916.9742,plane,52,,,,,,,,,
1779374917.0702,plane,53,,,,,,,,,
1779374917.1660,plane,54,,,,,,,,,
1779374917.2785,plane,55,,,,,,,,,
1779374917.3740,plane,56,,,,,,,,,
1779374917.4705,plane,57,,,,,,,,,
1779374917.5664,plane,58,,,,,,,,,
1779374917.6782,plane,59,,,,,,,,,
1779374917.7739,plane,60,,,,,,,,,
1779374917.8702,plane,61,,,,,,,,,
1779374917.9668,plane,62,,,,,,,,,
1779374918.0782,plane,63,,,,,,,,,
1779374918.1742,plane,64,,,,,,,,,
1779374918.2696,plane,65,,,,,,,,,
1779374918.3663,plane,66,,,,,,,,,
1779374918.4780,plane,67,,,,,,,,,
1779374918.5740,plane,68,,,,,,,,,
1779374918.6705,plane,69,,,,,,,,,
1779374918.7662,plane,70,,,,,,,,,
1779374918.8780,plane,71,,,,,,,,,
1779374918.9740,plane,72,,,,,,,,,
1779374919.0705,plane,73,,,,,,,,,
1779374919.1660,plane,74,,,,,,,,,
1779374919.2784,plane,75,,,,,,,,,
1779374919.3746,plane,76,,,,,,,,,
1779374919.4697,plane,77,,,,,,,,,
1779374919.5664,plane,78,,,,,,,,,
1779374919.6780,plane,79,,,,,,,,,
1779374919.7741,plane,80,,,,,,,,,
1779374919.8700,plane,81,,,,,,,,,
1779374919.9661,plane,82,,,,,,,,,
1779374920.0781,plane,83,,,,,,,,,
1779374920.1742,plane,84,,,,,,,,,
1779374920.2702,plane,85,,,,,,,,,
1779374920.3664,plane,86,,,,,,,,,
1779374920.4778,plane,87,,,,,,,,,
1779374920.5742,plane,88,,,,,,,,,
1779374920.6704,plane,89,,,,,,,,,
1779374920.7663,plane,90,,,,,,,,,
1779374920.8786,plane,91,,,,,,,,,
1779374920.9743,plane,92,,,,,,,,,
1779374921.0700,plane,93,,,,,,,,,
1779374921.1660,plane,94,,,,,,,,,
1779374921.2783,plane,95,,,,,,,,,
1779374921.3741,plane,96,,,,,,,,,
1779374921.4700,plane,97,,,,,,,,,
1779374921.5660,plane,98,,,,,,,,,
1779374921.6779,plane,99,,,,,,,,,
1779374921.7744,plane,100,,,,,,,,,
1779374921.8700,plane,101,,,,,,,,,
1779374921.9661,plane,102,,,,,,,,,
1779374922.0778,plane,103,,,,,,,,,
1779374922.1739,plane,104,,,,,,,,,
1779374922.2700,plane,105,,,,,,,,,
1779374922.3662,plane,106,,,,,,,,,
1779374922.4777,plane,107,,,,,,,,,
1779374922.5739,plane,108,,,,,,,,,
1779374922.6699,plane,109,,,,,,,,,
1779374922.7663,plane,110,,,,,,,,,
1779374922.8777,plane,111,,,,,,,,,
1779374922.9745,plane,112,,,,,,,,,
1779374923.0703,plane,113,,,,,,,,,
1779374923.1664,plane,114,,,,,,,,,
1779374923.2785,plane,115,,,,,,,,,
1779374923.3747,plane,116,,,,,,,,,
1779374923.4696,plane,117,,,,,,,,,
1779374923.5661,plane,118,,,,,,,,,
1779374923.6782,plane,119,,,,,,,,,
1779374923.7739,plane,120,,,,,,,,,
1779374923.8693,plane,121,,,,,,,,,
1779374923.9664,plane,122,,,,,,,,,
1779374924.0794,plane,123,1,0.96601,0.63436,0.004807,0.54847,0.14166,63.55,0.00000,0.00000
1779374924.1763,plane,124,1,0.94463,0.53273,0.017081,0.33764,0.16051,39.52,-0.22101,-1.05063
1779374924.1763,plane,124,2,0.96992,0.91734,0.003391,0.19547,0.03798,23.86,0.00000,0.00000
1779374924.2722,plane,125,1,0.92396,0.43132,0.033127,0.59350,0.11229,0.00,-0.21528,-1.05628
1779374924.2722,plane,125,2,0.94663,0.84696,0.020274,0.39186,0.09429,28.92,-0.24252,-0.73308
1779374924.3680,plane,126,1,0.91190,0.53379,0.087513,0.46975,0.17943,6.60,-0.12583,1.06902
1779374924.3680,plane,126,2,0.97302,0.93001,0.002021,0.17730,0.02013,0.00,0.27527,0.86635
1779374924.4787,plane,127,1,0.89953,0.52094,0.130685,0.47166,0.19846,2.14,-0.11168,-0.11605
1779374924.5748,plane,128,1,0.88441,0.50731,0.165448,0.44275,0.23439,175.91,-0.15738,-0.14180
1779374924.6715,plane,129,1,0.87377,0.50149,0.187135,0.43908,0.24901,174.30,-0.11000,-0.06018
1779374924.7671,plane,130,1,0.86695,0.50098,0.201063,0.44892,0.27449,171.98,-0.07136,-0.00538
