time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779372420.7150,plane,1,,,,,,,,,
1779372420.8043,plane,2,,,,,,,,,
1779372420.9176,plane,3,,,,,,,,,
1779372421.0127,plane,4,,,,,,,,,
1779372421.1222,plane,5,,,,,,,,,
1779372421.2178,plane,6,,,,,,,,,
1779372421.3295,plane,7,,,,,,,,,
1779372421.4268,plane,8,,,,,,,,,
1779372421.5226,plane,9,,,,,,,,,
1779372421.6181,plane,10,,,,,,,,,
1779372421.7309,plane,11,,,,,,,,,
1779372421.8262,plane,12,,,,,,,,,
1779372421.9233,plane,13,,,,,,,,,
1779372422.0187,plane,14,,,,,,,,,
1779372422.1141,plane,15,,,,,,,,,
1779372422.2264,plane,16,,,,,,,,,
1779372422.3224,plane,17,,,,,,,,,
1779372422.4182,plane,18,,,,,,,,,
1779372422.5148,plane,19,,,,,,,,,
1779372422.6273,plane,20,,,,,,,,,
1779372422.7193,plane,21,,,,,,,,,
1779372422.8188,plane,22,,,,,,,,,
1779372422.9166,plane,23,,,,,,,,,
1779372423.0227,plane,24,,,,,,,,,
1779372423.1223,plane,25,,,,,,,,,
1779372423.2173,plane,26,,,,,,,,,
1779372423.3141,plane,27,,,,,,,,,
1779372423.4262,plane,28,,,,,,,,,
1779372423.5216,plane,29,,,,,,,,,
1779372423.6171,plane,30,,,,,,,,,
1779372423.7141,plane,31,,,,,,,,,
1779372423.8241,plane,32,,,,,,,,,
1779372423.9218,plane,33,,,,,,,,,
1779372424.0179,plane,34,,,,,,,,,
1779372424.1137,plane,35,,,,,,,,,
1779372424.2240,plane,36,,,,,,,,,
1779372424.3215,plane,37,,,,,,,,,
1779372424.4154,plane,38,,,,,,,,,
1779372424.5106,plane,39,,,,,,,,,
1779372424.6235,plane,40,,,,,,,,,
1779372424.7183,plane,41,,,,,,,,,
1779372424.8135,plane,42,,,,,,,,,
1779372424.9120,plane,43,,,,,,,,,
1779372425.0248,plane,44,0,0.44500,0.51150,0.004213,0.08568,0.04576,174.09,0.00000,0.00000
1779372425.1208,plane,45,0,0.42354,0.51504,0.005764,0.07865,0.06133,173.16,-0.22242,0.03677
1779372425.2139,plane,46,0,0.39843,0.51932,0.005637,0.07821,0.06037,171.67,-0.26965,0.04598
1779372425.3107,plane,47,0,0.37138,0.52707,0.005442,0.07802,0.05961,174.62,-0.27962,0.08002
1779372425.4229,plane,48,,,,,,,,,
1779372425.5176,plane,49,,,,,,,,,
1779372425.6163,plane,50,0,0.32673,0.54355,0.005953,0.07906,0.06049,11.44,-0.45368,0.16754
1779372425.7129,plane,51,0,0.30038,0.52545,0.005327,0.07835,0.05830,6.44,-0.27320,-0.18769
1779372425.8226,plane,52,,,,,,,,,
1779372425.9181,plane,53,,,,,,,,,
1779372426.0158,plane,54,0,0.27303,0.50326,0.007319,0.07917,0.06844,161.50,-0.27973,-0.22699
1779372426.1093,plane,55,0,0.23936,0.53266,0.005022,0.07694,0.05756,172.12,-0.35776,0.31244
1779372426.2222,plane,56,0,0.21297,0.52990,0.005866,0.07982,0.05979,156.80,-0.23485,-0.02454
1779372426.3181,plane,57,0,0.18927,0.53721,0.005781,0.08118,0.05882,157.40,-0.24683,0.07611
1779372426.4145,plane,58,0,0.16793,0.56154,0.005669,0.08032,0.05876,163.07,-0.22139,0.25239
1779372426.5107,plane,59,0,0.14377,0.56887,0.005580,0.08056,0.05790,156.58,-0.25154,0.07627
1779372426.6234,plane,60,0,0.11885,0.58494,0.006087,0.08045,0.06008,158.73,-0.22131,0.14269
1779372426.7174,plane,61,0,0.09667,0.59593,0.005824,0.08104,0.05862,152.18,-0.23598,0.11700
1779372426.8148,plane,62,0,0.07425,0.59673,0.004488,0.07992,0.05413,123.31,-0.22985,0.00818
1779372426.9090,plane,63,,,,,,,,,
1779372427.0204,plane,64,,,,,,,,,
1779372427.1193,plane,65,0,0.04342,0.60951,0.007155,0.08574,0.06337,89.66,-0.31109,0.12892
1779372427.2141,plane,66,0,0.04740,0.66956,0.004907,0.07851,0.05786,98.31,0.04183,0.63147
1779372427.3116,plane,67,0,0.04467,0.70356,0.006087,0.08408,0.05946,87.31,-0.02813,0.35028
1779372427.4223,plane,68,0,0.04471,0.74541,0.006802,0.08316,0.06253,88.86,0.00038,0.37734
1779372427.5190,plane,69,0,0.05557,0.78860,0.006499,0.08227,0.06162,90.49,0.11257,0.44783
1779372427.6150,plane,70,0,0.05988,0.82322,0.005351,0.08058,0.05885,89.43,0.04482,0.35940
1779372427.7103,plane,71,0,0.04731,0.89053,0.003781,0.07344,0.05694,159.60,-0.13171,0.70526
1779372427.8220,plane,72,,,,,,,,,
1779372427.9192,plane,73,0,0.09228,0.82369,0.002643,0.07219,0.06831,88.03,0.46259,-0.68764
1779372428.0125,plane,74,,,,,,,,,
1779372428.1089,plane,75,,,,,,,,,
1779372428.2228,plane,76,0,0.06592,0.82986,0.007697,0.07804,0.06987,58.40,-0.23159,0.05421
1779372428.3169,plane,77,,,,,,,,,
1779372428.4118,plane,78,,,,,,,,,
1779372428.5104,plane,79,0,0.11032,0.89085,0.003489,0.07166,0.06647,12.98,0.44923,0.61700
1779372428.6212,plane,80,,,,,,,,,
1779372428.7169,plane,81,,,,,,,,,
1779372428.8139,plane,82,0,0.12082,0.88722,0.006688,0.07864,0.06543,176.29,0.10859,-0.03760
1779372428.9105,plane,83,0,0.15995,0.84453,0.003547,0.07189,0.05896,25.15,0.40484,-0.44167
1779372429.0240,plane,84,0,0.18291,0.85345,0.005671,0.07836,0.05954,8.22,0.20242,0.07860
1779372429.1174,plane,85,0,0.20605,0.84856,0.005712,0.08032,0.05905,22.12,0.24736,-0.05224
1779372429.2144,plane,86,0,0.23549,0.84191,0.005564,0.08112,0.05675,35.36,0.30386,-0.06864
1779372429.3114,plane,87,0,0.25838,0.85586,0.005605,0.08032,0.05842,33.50,0.23538,0.14342
1779372429.4215,plane,88,0,0.28276,0.86944,0.006056,0.08123,0.05925,38.76,0.22166,0.12348
1779372429.5186,plane,89,0,0.30329,0.88570,0.005544,0.08012,0.05820,25.86,0.21239,0.16819
1779372429.6153,plane,90,0,0.32652,0.90149,0.005893,0.08041,0.06087,10.64,0.23965,0.16287
1779372429.7114,plane,91,0,0.34169,0.88732,0.002903,0.07086,0.06810,47.13,0.15791,-0.14745
1779372429.8222,plane,92,0,0.37025,0.89440,0.003830,0.07308,0.06372,21.79,0.25666,0.06359
