time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779370432.9593,plane,1,,,,,,,,,
1779370433.0513,plane,2,,,,,,,,,
1779370433.1648,plane,3,0,0.50313,0.90584,0.151171,3.29300,0.09166,89.90,0.00000,0.00000
1779370433.2592,plane,4,0,0.50320,0.90583,0.151162,3.48313,0.09126,89.91,0.00074,-0.00005
1779370433.3578,plane,5,0,0.50315,0.90584,0.151176,3.39017,0.09151,89.91,-0.00047,0.00004
1779370433.4510,plane,6,0,0.50320,0.90586,0.150384,4.59630,0.08971,89.91,0.00057,0.00022
1779370433.5632,plane,7,0,0.50324,0.90585,0.150389,4.35170,0.08976,89.90,0.00031,-0.00006
1779370433.6612,plane,8,0,0.50321,0.90586,0.150370,4.26540,0.09005,89.91,-0.00027,0.00010
1779370433.7541,plane,9,0,0.50290,0.90604,0.149284,4.63308,0.08918,89.89,-0.00332,0.00194
1779370433.8522,plane,10,0,0.50292,0.90604,0.149272,4.66552,0.08914,89.89,0.00017,-0.00001
1779370433.9650,plane,11,0,0.50293,0.90603,0.149297,4.44338,0.08938,89.89,0.00007,-0.00006
1779370434.0586,plane,12,0,0.50304,0.90607,0.148483,3.35082,0.08960,89.93,0.00120,0.00040
1779370434.1547,plane,13,0,0.50305,0.90606,0.148488,3.35931,0.08957,89.93,0.00012,-0.00007
1779370434.2507,plane,14,0,0.50305,0.90606,0.148488,3.30982,0.08957,89.92,0.00001,-0.00000
1779370434.3644,plane,15,0,0.50377,0.90585,0.147373,3.50146,0.08879,89.94,0.00635,-0.00192
1779370434.4590,plane,16,0,0.50380,0.90585,0.147373,3.58373,0.08873,89.94,0.00031,-0.00000
1779370434.5570,plane,17,0,0.50379,0.90585,0.147366,3.61883,0.08851,89.94,-0.00012,-0.00000
1779370434.6505,plane,18,0,0.50382,0.90580,0.146442,3.83295,0.08739,89.91,0.00032,-0.00049
1779370434.7623,plane,19,0,0.50379,0.90580,0.146420,3.72965,0.08778,89.93,-0.00027,-0.00003
1779370434.8615,plane,20,0,0.50379,0.90580,0.146437,3.88800,0.08736,89.92,-0.00003,0.00004
1779370434.9558,plane,21,0,0.50354,0.90599,0.145216,3.15084,0.08827,89.87,-0.00263,0.00196
1779370435.0504,plane,22,0,0.50352,0.90599,0.145208,3.20070,0.08800,89.87,-0.00021,0.00002
1779370435.1620,plane,23,0,0.50348,0.90599,0.145194,3.26884,0.08791,89.86,-0.00037,-0.00002
1779370435.2611,plane,24,0,0.50379,0.90605,0.144453,2.73494,0.08865,89.94,0.00312,0.00065
1779370435.3567,plane,25,0,0.50376,0.90606,0.144472,2.85622,0.08840,89.94,-0.00025,0.00010
1779370435.4531,plane,26,0,0.50382,0.90606,0.144487,2.93814,0.08812,89.94,0.00053,0.00003
1779370435.5638,plane,27,0,0.50416,0.90594,0.143799,2.45785,0.08974,89.93,0.00315,-0.00112
1779370435.6586,plane,28,0,0.50423,0.90593,0.143778,2.41993,0.09003,89.94,0.00073,-0.00010
1779370435.7581,plane,29,0,0.50419,0.90593,0.143768,2.44711,0.08967,89.94,-0.00041,-0.00004
1779370435.8537,plane,30,0,0.50452,0.90583,0.143448,2.57400,0.08823,89.98,0.00346,-0.00096
1779370435.9662,plane,31,0,0.50449,0.90585,0.143431,2.42774,0.08864,89.96,-0.00032,0.00011
1779370436.0639,plane,32,0,0.50452,0.90584,0.143421,2.51865,0.08814,89.98,0.00036,-0.00004
