time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779369791.5844,plane,1,,,,,,,,,
1779369791.6946,plane,2,,,,,,,,,
1779369791.7901,plane,3,,,,,,,,,
1779369791.8883,plane,4,,,,,,,,,
1779369791.9841,plane,5,,,,,,,,,
1779369792.0972,plane,6,,,,,,,,,
1779369792.1926,plane,7,,,,,,,,,
1779369792.2862,plane,8,,,,,,,,,
1779369792.3838,plane,9,,,,,,,,,
1779369792.4939,plane,10,,,,,,,,,
1779369792.5901,plane,11,,,,,,,,,
1779369792.6892,plane,12,,,,,,,,,
1779369792.7828,plane,13,,,,,,,,,
1779369792.8941,plane,14,,,,,,,,,
1779369792.9918,plane,15,,,,,,,,,
1779369793.0863,plane,16,,,,,,,,,
1779369793.1827,plane,17,,,,,,,,,
1779369793.2941,plane,18,,,,,,,,,
1779369793.3904,plane,19,,,,,,,,,
1779369793.4989,plane,20,,,,,,,,,
1779369793.5949,plane,21,,,,,,,,,
1779369793.7058,plane,22,,,,,,,,,
1779369793.7926,plane,23,,,,,,,,,
1779369793.8901,plane,24,,,,,,,,,
1779369793.9857,plane,25,,,,,,,,,
1779369794.0949,plane,26,,,,,,,,,
1779369794.1921,plane,27,,,,,,,,,
1779369794.2890,plane,28,,,,,,,,,
1779369794.3826,plane,29,,,,,,,,,
1779369794.4985,plane,30,,,,,,,,,
1779369794.5951,plane,31,,,,,,,,,
1779369794.6883,plane,32,,,,,,,,,
1779369794.7843,plane,33,0,0.00638,0.48827,0.013407,0.33102,0.01533,0.00,0.00000,0.00000
1779369794.8983,plane,34,0,0.00638,0.48847,0.013433,0.32340,0.01487,0.00,0.00002,0.00169
1779369794.9935,plane,35,0,0.00639,0.48856,0.013429,0.33617,0.01742,0.00,0.00005,0.00102
1779369795.0867,plane,36,0,0.00640,0.48847,0.013450,0.34492,0.01821,0.00,0.00012,-0.00101
1779369795.1844,plane,37,0,0.00640,0.48918,0.013435,0.43174,0.03975,0.00,-0.00003,0.00728
1779369795.2937,plane,38,0,0.00642,0.48786,0.013497,0.39918,0.02235,0.00,0.00026,-0.01209
1779369795.3917,plane,39,0,0.00640,0.48831,0.013443,0.34088,0.01780,0.00,-0.00029,0.00468
1779369795.4896,plane,40,0,0.00639,0.48811,0.013433,0.33918,0.01754,0.00,-0.00006,-0.00205
1779369795.5858,plane,41,0,0.00631,0.48882,0.013277,0.38546,0.02662,0.00,-0.00080,0.00731
1779369795.6977,plane,42,0,0.00629,0.48903,0.013224,0.45511,0.03488,1.14,-0.00017,0.00193
1779369795.7935,plane,43,0,0.00630,0.48890,0.013243,0.38942,0.08846,0.00,0.00006,-0.00136
1779369795.8892,plane,44,0,0.00629,0.48846,0.013231,0.80134,0.01695,0.29,-0.00006,-0.00459
1779369795.9836,plane,45,0,0.00631,0.48849,0.013251,0.39532,0.02806,0.00,0.00013,0.00034
1779369796.0947,plane,46,0,0.00629,0.48922,0.013231,0.38697,0.02110,0.00,-0.00015,0.00653
1779369796.1929,plane,47,0,0.00631,0.48915,0.013275,0.38190,0.02780,0.00,0.00024,-0.00070
1779369796.2887,plane,48,0,0.00630,0.48788,0.013233,0.35373,0.01621,0.00,-0.00015,-0.01329
1779369796.3832,plane,49,0,0.00629,0.48874,0.013221,0.38352,0.02314,0.00,-0.00010,0.00916
1779369796.4951,plane,50,0,0.00632,0.48850,0.013280,0.35207,0.01743,0.00,0.00027,-0.00219
1779369796.5929,plane,51,0,0.00631,0.48947,0.013255,0.39735,0.05097,0.00,-0.00012,0.00998
1779369796.6887,plane,52,0,0.00632,0.48879,0.013275,0.36051,0.01793,0.00,0.00013,-0.00717
1779369796.7855,plane,53,0,0.00630,0.48819,0.013250,0.48817,0.03084,0.19,-0.00017,-0.00620
1779369796.8980,plane,54,0,0.00632,0.48835,0.013273,0.34651,0.01592,0.00,0.00011,0.00150
1779369796.9910,plane,55,0,0.00631,0.48855,0.013263,0.37974,0.02714,0.00,-0.00007,0.00216
1779369797.0877,plane,56,0,0.00631,0.48837,0.013253,0.38173,0.02026,0.00,-0.00003,-0.00193
1779369797.1824,plane,57,0,0.00633,0.48779,0.013297,0.85810,0.02890,0.29,0.00027,-0.00608
1779369797.2956,plane,58,0,0.00631,0.48863,0.013253,0.74137,0.02994,0.80,-0.00019,0.00739
1779369797.3927,plane,59,0,0.00633,0.48803,0.013307,0.35108,0.01743,0.00,0.00020,-0.00618
1779369797.4882,plane,60,0,0.00631,0.48901,0.013265,0.37707,0.02142,0.00,-0.00020,0.01025
1779369797.5850,plane,61,0,0.00630,0.48949,0.013250,0.39789,0.02783,0.00,-0.00008,0.00503
1779369797.6976,plane,62,0,0.00629,0.48827,0.013223,0.47380,0.03592,0.81,-0.00010,-0.01083
1779369797.7945,plane,63,0,0.00631,0.48858,0.013248,0.36377,0.01816,0.00,0.00018,0.00320
1779369797.8925,plane,64,0,0.00632,0.48839,0.013273,0.35293,0.01607,0.00,0.00010,-0.00193
1779369797.9916,plane,65,0,0.00630,0.48824,0.013243,0.40946,0.04836,0.00,-0.00015,-0.00155
1779369798.0985,plane,66,0,0.00629,0.48813,0.013218,0.39571,0.02387,0.00,-0.00010,-0.00106
1779369798.1918,plane,67,0,0.00632,0.48840,0.013265,0.35026,0.01826,0.00,0.00029,0.00297
1779369798.2874,plane,68,0,0.00632,0.48767,0.013284,0.43168,0.11723,179.03,0.00007,-0.00772
1779369798.3838,plane,69,0,0.00633,0.48777,0.013295,0.35190,0.01771,0.00,0.00005,0.00111
1779369798.4949,plane,70,0,0.00630,0.48891,0.013255,0.40467,0.02780,0.00,-0.00022,0.01027
1779369798.5935,plane,71,0,0.00632,0.48826,0.013287,0.39157,0.02310,0.00,0.00016,-0.00660
1779369798.6886,plane,72,0,0.00633,0.48891,0.013312,0.37253,0.02248,0.00,0.00013,0.00683
1779369798.7844,plane,73,0,0.00632,0.48857,0.013287,0.34666,0.01608,0.00,-0.00011,-0.00354
1779369798.8987,plane,74,0,0.00632,0.48845,0.013272,0.34630,0.01499,0.00,-0.00006,-0.00108
1779369798.9964,plane,75,0,0.00629,0.48827,0.013218,0.35218,0.01700,0.00,-0.00023,-0.00182
1779369799.0894,plane,76,,,,,,,,,
1779369799.1876,plane,77,,,,,,,,,
1779369799.2987,plane,78,,,,,,,,,
1779369799.3956,plane,79,,,,,,,,,
1779369799.4928,plane,80,,,,,,,,,
1779369799.5878,plane,81,,,,,,,,,
1779369799.6989,plane,82,,,,,,,,,
1779369799.7973,plane,83,,,,,,,,,
1779369799.8918,plane,84,,,,,,,,,
1779369799.9890,plane,85,,,,,,,,,
1779369800.0966,plane,86,,,,,,,,,
1779369800.1922,plane,87,,,,,,,,,
1779369800.2896,plane,88,,,,,,,,,
1779369800.3851,plane,89,,,,,,,,,
1779369800.4988,plane,90,,,,,,,,,
1779369800.5954,plane,91,,,,,,,,,
1779369800.6897,plane,92,,,,,,,,,
1779369800.7869,plane,93,,,,,,,,,
1779369800.9009,plane,94,,,,,,,,,
