time,surface,frame,blob_id,x,y,area,major,minor,angle,vx,vy
1779371912.5854,plane,1,,,,,,,,,
1779371912.6785,plane,2,,,,,,,,,
1779371912.7900,plane,3,,,,,,,,,
1779371912.8865,plane,4,,,,,,,,,
1779371912.9830,plane,5,,,,,,,,,
1779371913.0790,plane,6,,,,,,,,,
1779371913.2041,plane,7,,,,,,,,,
1779371913.3000,plane,8,,,,,,,,,
1779371913.3968,plane,9,,,,,,,,,
1779371913.4920,plane,10,,,,,,,,,
1779371913.6056,plane,11,,,,,,,,,
1779371913.7003,plane,12,,,,,,,,,
1779371913.7969,plane,13,,,,,,,,,
1779371913.8921,plane,14,,,,,,,,,
1779371914.0024,plane,15,,,,,,,,,
1779371914.1001,plane,16,,,,,,,,,
1779371914.1963,plane,17,,,,,,,,,
1779371914.2896,plane,18,,,,,,,,,
1779371914.4049,plane,19,,,,,,,,,
1779371914.4956,plane,20,,,,,,,,,
1779371914.5941,plane,21,,,,,,,,,
1779371914.6920,plane,22,,,,,,,,,
1779371914.8046,plane,23,,,,,,,,,
1779371914.8986,plane,24,,,,,,,,,
1779371914.9954,plane,25,,,,,,,,,
1779371915.0924,plane,26,,,,,,,,,
1779371915.2002,plane,27,,,,,,,,,
1779371915.2964,plane,28,,,,,,,,,
1779371915.3926,plane,29,,,,,,,,,
1779371915.4914,plane,30,0,0.42816,0.46064,0.005742,0.17489,0.14714,110.17,0.00000,0.00000
1779371915.6016,plane,31,0,0.40595,0.43062,0.013201,0.14161,0.13353,38.05,-0.20122,-0.27204
1779371915.7004,plane,32,0,0.37157,0.41110,0.022234,0.15063,0.14107,59.04,-0.34929,-0.19831
1779371915.7937,plane,33,0,0.34505,0.45162,0.021111,0.15288,0.14218,67.59,-0.28383,0.43379
1779371915.8921,plane,34,0,0.34098,0.40546,0.032840,0.18042,0.14864,31.66,-0.04131,-0.46853
1779371916.0024,plane,35,0,0.29402,0.34700,0.038439,0.18369,0.15219,33.25,-0.42590,-0.53010
1779371916.0973,plane,36,0,0.33478,0.30970,0.028493,0.15599,0.14144,27.54,0.42802,-0.39174
1779371916.1944,plane,37,0,0.29413,0.19161,0.038245,0.17488,0.15527,124.05,-0.41925,-1.21813
1779371916.2916,plane,38,0,0.33463,0.25070,0.033079,0.15629,0.14993,96.72,0.41778,0.60950
1779371916.4025,plane,39,0,0.35305,0.25724,0.033859,0.15972,0.15007,99.53,0.16596,0.05898
1779371916.4973,plane,40,0,0.38435,0.27987,0.034090,0.16004,0.15076,109.69,0.33028,0.23878
1779371916.5923,plane,41,0,0.42132,0.31998,0.032888,0.15589,0.14944,74.71,0.38935,0.42246
1779371916.6883,plane,42,0,0.45717,0.36082,0.030262,0.16009,0.13925,61.84,0.37268,0.42446
1779371916.8013,plane,43,0,0.49332,0.40584,0.027483,0.15885,0.13972,61.11,0.32046,0.39904
1779371916.8992,plane,44,0,0.53018,0.45273,0.024648,0.15417,0.14727,92.88,0.37606,0.47835
1779371916.9950,plane,45,0,0.58069,0.52370,0.025655,0.16090,0.13514,135.21,0.52565,0.73870
1779371917.0908,plane,46,0,0.61334,0.63659,0.023402,0.15736,0.14596,129.69,0.34282,1.18514
1779371917.2032,plane,47,0,0.55535,0.73386,0.022842,0.15385,0.14701,169.64,-0.51517,0.86400
1779371917.2988,plane,48,0,0.65960,0.63772,0.034773,0.16869,0.15117,73.32,1.09045,-1.00558
1779371917.3936,plane,49,0,0.59379,0.76846,0.034617,0.16755,0.14661,75.89,-0.69416,1.37907
1779371917.4916,plane,50,0,0.60994,0.67238,0.028885,0.16010,0.13514,49.61,0.16484,-0.98089
1779371917.6012,plane,51,0,0.60231,0.65335,0.030357,0.15996,0.13740,54.31,-0.06947,-0.17343
1779371917.6975,plane,52,0,0.58623,0.62419,0.030263,0.15893,0.13710,49.82,-0.16677,-0.30236
1779371917.7928,plane,53,0,0.56732,0.58048,0.029312,0.15954,0.13939,50.02,-0.19828,-0.45837
1779371917.8896,plane,54,0,0.53862,0.53026,0.025828,0.15757,0.13778,52.99,-0.29780,-0.52093
1779371918.0047,plane,55,0,0.50099,0.44144,0.022783,0.16156,0.14954,102.60,-0.32722,-0.77247
1779371918.0992,plane,56,0,0.46168,0.39715,0.022970,0.16196,0.14983,103.86,-0.41494,-0.46757
1779371918.1922,plane,57,0,0.44208,0.50630,0.029748,0.18178,0.15029,98.71,-0.21037,1.17121
1779371918.2901,plane,58,1,0.37177,0.33844,0.032516,0.16801,0.15856,90.02,0.00000,0.00000
1779371918.4003,plane,59,0,0.43045,0.36744,0.030801,0.18785,0.15913,136.47,-0.10488,-1.25199
1779371918.4956,plane,60,0,0.34140,0.43899,0.031070,0.17249,0.14558,166.22,-0.93656,0.75255
1779371918.5947,plane,61,0,0.37201,0.32914,0.049649,0.30685,0.13776,79.50,0.30898,-1.10890
1779371918.6896,plane,62,0,0.30729,0.26471,0.090756,0.34218,0.21070,165.77,-0.68424,-0.68115
1779371918.8013,plane,63,0,0.25551,0.29926,0.096203,0.47678,0.18143,95.26,-0.46319,0.30906
1779371918.8989,plane,64,0,0.24213,0.22280,0.132904,0.35779,0.34191,44.82,-0.13739,-0.78515
1779371918.9954,plane,65,0,0.32629,0.22245,0.033678,0.15720,0.15191,99.77,0.86888,-0.00361
1779371919.0892,plane,66,0,0.34549,0.23432,0.033349,0.15746,0.15000,98.04,0.20450,0.12646
1779371919.2008,plane,67,0,0.37912,0.25318,0.033390,0.15680,0.15088,107.52,0.30119,0.16889
1779371919.2973,plane,68,0,0.42084,0.28995,0.033191,0.15548,0.15133,93.38,0.43375,0.38232
1779371919.3938,plane,69,0,0.45808,0.33250,0.030811,0.15803,0.14056,59.29,0.38482,0.43968
1779371919.4883,plane,70,0,0.49362,0.37526,0.027930,0.15949,0.13859,66.31,0.37738,0.45412
1779371919.6023,plane,71,0,0.53029,0.42478,0.025889,0.15704,0.14463,87.70,0.32118,0.43368
1779371919.6963,plane,72,0,0.58268,0.51119,0.023722,0.15729,0.14765,104.62,0.55774,0.91994
1779371919.7925,plane,73,0,0.60997,0.58254,0.024736,0.15432,0.14938,138.80,0.28257,0.73885
1779371919.8891,plane,74,0,0.55178,0.53247,0.028678,0.18138,0.15699,55.02,-0.60441,-0.52011
1779371920.0011,plane,75,0,0.60830,0.65586,0.030167,0.17369,0.13971,74.13,0.50400,1.10028
1779371920.0972,plane,76,0,0.59345,0.72087,0.034032,0.19297,0.15313,52.24,-0.15457,0.67656
1779371920.1928,plane,77,0,0.60416,0.60815,0.030368,0.18244,0.15080,74.71,0.11182,-1.17724
1779371920.2896,plane,78,0,0.60720,0.74428,0.037181,0.18694,0.14476,89.62,0.03158,1.41109
1779371920.4003,plane,79,0,0.56305,0.70043,0.027966,0.16176,0.13598,77.95,-0.39869,-0.39593
1779371920.4981,plane,80,0,0.59889,0.65706,0.032800,0.16652,0.15865,79.61,0.36583,-0.44264
1779371920.5927,plane,81,0,0.58344,0.62651,0.027142,0.16060,0.13454,61.23,-0.16357,-0.32340
1779371920.6908,plane,82,0,0.58597,0.58304,0.028646,0.16104,0.13495,54.30,0.02579,-0.44458
1779371920.8023,plane,83,0,0.57405,0.53282,0.028151,0.15913,0.13601,49.27,-0.10634,-0.44841
1779371920.8984,plane,84,0,0.55976,0.45664,0.025469,0.15375,0.14280,40.14,-0.14924,-0.79533
1779371920.9935,plane,85,0,0.53349,0.38914,0.023687,0.15000,0.14576,50.47,-0.27518,-0.70702
1779371921.0888,plane,86,0,0.47055,0.30583,0.021868,0.15656,0.14982,87.98,-0.65982,-0.87337
1779371921.2002,plane,87,0,0.43463,0.23870,0.026925,0.16314,0.13147,91.43,-0.32260,-0.60280
1779371921.2973,plane,88,0,0.50199,0.20767,0.022576,0.15153,0.14728,42.37,0.69588,-0.32052
1779371921.3931,plane,89,0,0.36766,0.26232,0.033300,0.15526,0.15168,65.66,-1.40378,0.57102
1779371921.4894,plane,90,2,0.46109,0.12523,0.033037,0.15663,0.15173,85.25,0.00000,0.00000
1779371921.6019,plane,91,0,0.44581,0.20841,0.031313,0.15955,0.14266,73.36,0.69441,-0.47902
1779371921.6950,plane,92,0,0.44839,0.23098,0.031982,0.15886,0.14357,74.77,0.02767,0.24182
1779371921.7961,plane,93,0,0.46386,0.26357,0.032138,0.15762,0.14474,76.24,0.15272,0.32178
1779371921.7961,plane,93,3,0.32858,0.02772,0.006804,0.20227,0.03571,90.07,0.00000,0.00000
1779371921.8914,plane,94,0,0.48209,0.31096,0.031265,0.15876,0.14299,74.88,0.19158,0.49785
1779371921.8914,plane,94,2,0.40222,0.02765,0.015215,0.41548,0.03621,90.28,-0.61842,-1.02515
1779371922.0021,plane,95,0,0.49821,0.38009,0.028629,0.16144,0.13632,78.69,0.14553,0.62428
1779371922.0021,plane,95,2,0.40526,0.02766,0.015584,0.47581,0.03463,90.10,0.02741,0.00012
1779371922.1005,plane,96,0,0.51355,0.44859,0.025387,0.15634,0.14148,87.33,0.15519,0.69288
1779371922.1005,plane,96,2,0.42234,0.02758,0.016720,0.50419,0.03572,89.96,0.17283,-0.00079
1779371922.1924,plane,97,0,0.52777,0.52610,0.023663,0.15471,0.14859,168.26,0.15594,0.84978
1779371922.2891,plane,98,0,0.54645,0.64400,0.023643,0.15846,0.15604,159.18,0.19234,1.21416
